"WHO_Code","ADM0NAME","DateReport1","epiWeek","NewCases","NewDeaths","TotalCases","TotalDeaths"
"ALB","ALBANIA","2020-03-09","2020-11",2.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-10","2020-11",0.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-11","2020-11",0.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-12","2020-11",1.00,1.00,3.00,1.00
"ALB","ALBANIA","2020-03-13","2020-11",0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-14","2020-11",0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-15","2020-11",0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-16","2020-12",2.00,0.00,5.00,1.00
"ALB","ALBANIA","2020-03-17","2020-12",9.00,0.00,14.00,1.00
"ALB","ALBANIA","2020-03-18","2020-12",4.00,0.00,18.00,1.00
"ALB","ALBANIA","2020-03-19","2020-12",3.00,0.00,21.00,1.00
"ALB","ALBANIA","2020-03-20","2020-12",11.00,0.00,32.00,1.00
"ALB","ALBANIA","2020-03-21","2020-12",19.00,0.00,51.00,1.00
"ALB","ALBANIA","2020-03-22","2020-12",0.00,0.00,51.00,1.00
"ALB","ALBANIA","2020-03-23","2020-13",15.00,2.00,66.00,3.00
"ALB","ALBANIA","2020-03-24","2020-13",19.00,1.00,85.00,4.00
"ALB","ALBANIA","2020-03-25","2020-13",23.00,0.00,108.00,4.00
"ALB","ALBANIA","2020-03-26","2020-13",28.00,1.00,136.00,5.00
"ALB","ALBANIA","2020-03-27","2020-13",12.00,2.00,148.00,7.00
"ALB","ALBANIA","2020-03-28","2020-13",11.00,1.00,159.00,8.00
"ALB","ALBANIA","2020-03-29","2020-13",15.00,1.00,174.00,9.00
"ALB","ALBANIA","2020-03-30","2020-14",11.00,1.00,185.00,10.00
"ALB","ALBANIA","2020-03-31","2020-14",20.00,2.00,205.00,12.00
"ALB","ALBANIA","2020-04-01","2020-14",34.00,2.00,239.00,14.00
"ALB","ALBANIA","2020-04-02","2020-14",0.00,0.00,239.00,14.00
"ALB","ALBANIA","2020-04-03","2020-14",0.00,1.00,239.00,15.00
"ALB","ALBANIA","2020-04-04","2020-14",56.00,1.00,295.00,16.00
"ALB","ALBANIA","2020-04-05","2020-14",0.00,1.00,295.00,17.00
"ALB","ALBANIA","2020-04-06","2020-15",44.00,3.00,339.00,20.00
"ALB","ALBANIA","2020-04-07","2020-15",0.00,1.00,339.00,21.00
"ALB","ALBANIA","2020-04-08","2020-15",23.00,0.00,362.00,21.00
"ALB","ALBANIA","2020-04-09","2020-15",9.00,0.00,371.00,21.00
"ALB","ALBANIA","2020-04-10","2020-15",7.00,1.00,378.00,22.00
"ALB","ALBANIA","2020-04-11","2020-15",0.00,0.00,378.00,22.00
"ALB","ALBANIA","2020-04-12","2020-15",30.00,0.00,408.00,22.00
"ALB","ALBANIA","2020-04-13","2020-16",0.00,0.00,408.00,22.00
"ALB","ALBANIA","2020-04-14","2020-16",29.00,0.00,437.00,22.00
"ALB","ALBANIA","2020-04-15","2020-16",0.00,1.00,437.00,23.00
"ALB","ALBANIA","2020-04-16","2020-16",19.00,1.00,456.00,24.00
"ALB","ALBANIA","2020-04-17","2020-16",24.00,1.00,480.00,25.00
"ALB","ALBANIA","2020-04-18","2020-16",30.00,0.00,510.00,25.00
"ALB","ALBANIA","2020-04-19","2020-16",0.00,0.00,510.00,25.00
"ALB","ALBANIA","2020-04-20","2020-17",14.00,0.00,524.00,25.00
"ALB","ALBANIA","2020-04-21","2020-17",47.00,0.00,571.00,25.00
"ALB","ALBANIA","2020-04-22","2020-17",25.00,0.00,596.00,25.00
"ALB","ALBANIA","2020-04-23","2020-17",0.00,1.00,596.00,26.00
"ALB","ALBANIA","2020-04-24","2020-17",44.00,0.00,640.00,26.00
"ALB","ALBANIA","2020-04-25","2020-17",0.00,0.00,640.00,26.00
"ALB","ALBANIA","2020-04-26","2020-17",34.00,0.00,674.00,26.00
"ALB","ALBANIA","2020-04-27","2020-18",14.00,1.00,688.00,27.00
"ALB","ALBANIA","2020-04-28","2020-18",10.00,0.00,698.00,27.00
"ALB","ALBANIA","2020-04-29","2020-18",30.00,2.00,728.00,29.00
"ALB","ALBANIA","2020-04-30","2020-18",7.00,1.00,735.00,30.00
"ALB","ALBANIA","2020-05-01","2020-18",0.00,0.00,735.00,30.00
"ALB","ALBANIA","2020-05-02","2020-18",16.00,0.00,751.00,30.00
"ALB","ALBANIA","2020-05-03","2020-18",6.00,0.00,757.00,30.00
"ALB","ALBANIA","2020-05-04","2020-19",8.00,0.00,765.00,30.00
"ALB","ALBANIA","2020-05-05","2020-19",17.00,0.00,782.00,30.00
"ALB","ALBANIA","2020-05-06","2020-19",12.00,0.00,794.00,30.00
"ALB","ALBANIA","2020-05-07","2020-19",0.00,0.00,794.00,30.00
"ALB","ALBANIA","2020-05-08","2020-19",18.00,0.00,812.00,30.00
"ALB","ALBANIA","2020-05-09","2020-19",6.00,0.00,818.00,30.00
"ALB","ALBANIA","2020-05-10","2020-19",12.00,0.00,830.00,30.00
